Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
newbbbb,,,,2019-08-26 16:47:07,2019-08-26 16:47:14,6.980s,INCOMPLETE
,,,,,,,
Test Cases/mykpi/newbran,,,,2019-08-26 16:47:08,2019-08-26 16:47:14,6.223s,FAILED
"response = sendRequest(findTestObject(""AE""))",,,,2019-08-26 16:47:09,2019-08-26 16:47:14,4.474s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-26 16:47:14,2019-08-26 16:47:14,0.134s,FAILED
